"id","client_id","hitdatetime","action"
1,615020,2021-06-17 01:23:31.000,visit
2,615020,2021-06-23 20:39:00.000,visit
3,615020,2021-06-26 06:55:31.000,visit
4,615020,2021-06-30 07:37:48.000,visit
5,615020,2021-07-02 09:21:58.000,visit
6,615020,2021-07-06 18:26:18.000,visit
7,615020,2021-07-13 09:44:15.000,visit
8,615020,2021-07-20 04:08:10.000,visit
9,615020,2021-07-24 01:44:28.000,visit
10,615020,2021-07-31 00:14:20.000,visit
11,615020,2021-08-04 06:02:13.000,visit
12,615020,2021-08-06 02:16:40.000,visit
13,615020,2021-08-06 23:39:42.000,visit
14,615020,2021-08-09 10:05:59.000,visit
15,615020,2021-08-12 05:10:50.000,visit
16,615020,2021-06-18 11:14:51.000,registration
17,615020,2021-06-20 05:29:56.000,login
18,615020,2021-06-24 23:52:45.000,login
19,488878,2021-09-04 10:46:37.000,visit
20,488878,2021-09-06 20:58:52.000,visit
21,488878,2021-09-13 14:55:53.000,visit
22,488878,2021-09-15 15:54:58.000,visit
23,488878,2021-09-18 03:24:16.000,visit
24,488878,2021-09-19 05:41:40.000,visit
25,488878,2021-09-25 15:58:25.000,visit
26,488878,2021-09-28 01:48:18.000,visit
27,488878,2021-10-03 17:09:03.000,visit
28,488878,2021-10-05 20:08:20.000,visit
29,488878,2021-10-06 18:23:17.000,visit
30,488878,2021-10-08 09:59:08.000,visit
31,488878,2021-10-08 21:47:59.000,visit
32,488878,2021-10-10 02:38:28.000,visit
33,488878,2021-10-14 23:41:30.000,visit
34,488878,2021-10-21 16:16:08.000,visit
35,488878,2021-10-27 16:05:10.000,visit
36,488878,2021-10-29 01:54:40.000,visit
37,488878,2021-10-29 12:09:30.000,visit
38,488878,2021-11-01 12:55:51.000,visit
39,488878,2021-11-05 18:27:21.000,visit
40,488878,2021-11-12 12:24:06.000,visit
41,488878,2021-11-17 13:55:59.000,visit
42,488878,2021-11-20 03:29:02.000,visit
43,488878,2021-11-21 04:50:34.000,visit
44,930950,2021-09-28 10:33:10.000,visit
45,930950,2021-09-28 14:51:47.000,visit
46,930950,2021-10-05 09:31:23.000,visit
47,930950,2021-10-06 14:57:46.000,visit
48,930950,2021-10-11 06:48:12.000,visit
49,930950,2021-10-16 17:48:59.000,visit
50,930950,2021-10-19 20:49:47.000,visit
51,930950,2021-10-24 10:56:51.000,visit
52,930950,2021-10-29 03:06:34.000,visit
53,930950,2021-11-02 01:43:16.000,visit
54,930950,2021-11-04 21:41:01.000,visit
55,930950,2021-11-10 14:02:57.000,visit
56,930950,2021-11-14 07:53:21.000,visit
57,930950,2021-11-16 02:12:25.000,visit
58,930950,2021-11-18 10:00:05.000,visit
59,930950,2021-11-20 13:15:46.000,visit
60,930950,2021-11-26 11:26:49.000,visit
61,930950,2021-12-01 06:54:15.000,visit
62,930950,2021-12-03 16:37:56.000,visit
63,930950,2021-10-02 09:13:21.000,registration
64,930950,2021-10-02 19:15:27.000,login
65,930950,2021-10-08 13:04:54.000,login
66,930950,2021-10-14 16:20:25.000,login
67,930950,2021-10-21 06:49:44.000,login
68,930950,2021-10-22 19:49:17.000,login
69,930950,2021-10-26 23:52:07.000,login
70,930950,2021-11-01 22:36:06.000,login
71,930950,2021-11-07 00:00:43.000,login
72,930950,2021-11-13 17:26:52.000,login
73,930950,2021-11-20 01:20:18.000,login
74,218833,2021-01-31 00:03:17.000,visit
75,218833,2021-02-06 02:35:48.000,visit
76,918743,2021-03-12 14:26:24.000,visit
77,918743,2021-03-15 06:02:50.000,visit
78,918743,2021-03-17 05:36:40.000,visit
79,918743,2021-03-17 13:14:13.000,visit
80,918743,2021-03-23 01:03:34.000,visit
81,918743,2021-03-27 16:55:44.000,visit
82,918743,2021-03-29 04:15:38.000,visit
83,918743,2021-03-31 21:48:19.000,visit
84,918743,2021-04-05 20:51:38.000,visit
85,918743,2021-04-11 10:20:22.000,visit
86,918743,2021-04-13 07:28:31.000,visit
87,918743,2021-04-14 06:03:01.000,visit
88,933600,2021-09-26 14:31:12.000,visit
89,933600,2021-10-01 08:27:33.000,visit
90,933600,2021-10-02 04:15:15.000,visit
91,933600,2021-10-08 18:39:43.000,visit
92,933600,2021-10-12 19:48:45.000,visit
93,933600,2021-10-19 11:06:57.000,visit
94,933600,2021-10-21 10:07:09.000,visit
95,933600,2021-10-22 21:01:23.000,visit
96,933600,2021-10-23 14:15:42.000,visit
97,933600,2021-10-25 22:09:26.000,visit
98,933600,2021-10-27 21:03:24.000,visit
99,933600,2021-11-02 22:26:49.000,visit
100,933600,2021-11-05 08:31:53.000,visit
101,933600,2021-11-07 08:05:43.000,visit
102,933600,2021-09-27 16:02:10.000,registration
103,933600,2021-10-02 03:38:37.000,login
104,933600,2021-10-08 02:36:50.000,login
105,933600,2021-10-10 19:58:57.000,login
106,933600,2021-10-17 09:35:10.000,login
107,933600,2021-10-18 12:20:58.000,login
108,933600,2021-10-18 22:43:45.000,login
109,933600,2021-10-24 11:14:19.000,login
110,933600,2021-10-28 08:59:06.000,login
111,607473,2021-12-08 08:15:04.000,visit
112,607473,2021-12-08 20:01:01.000,visit
113,607473,2021-12-10 01:40:17.000,visit
114,607473,2021-12-14 21:58:03.000,visit
115,607473,2021-12-16 22:12:42.000,visit
116,607473,2021-12-20 10:57:10.000,visit
117,607473,2021-12-26 19:58:37.000,visit
118,607473,2021-12-31 18:21:30.000,visit
119,607473,2022-01-02 02:54:53.000,visit
120,607473,2022-01-07 22:01:20.000,visit
121,607473,2022-01-10 22:45:23.000,visit
122,607473,2022-01-16 00:35:07.000,visit
123,607473,2022-01-16 01:37:45.000,visit
124,607473,2022-01-19 13:01:59.000,visit
125,607473,2022-01-21 21:51:56.000,visit
126,607473,2022-01-24 04:09:01.000,visit
127,607473,2022-01-28 01:51:53.000,visit
128,607473,2022-01-28 07:25:33.000,visit
129,607473,2022-02-01 07:04:07.000,visit
130,607473,2022-02-03 09:12:04.000,visit
131,607473,2022-02-09 13:06:40.000,visit
132,607473,2022-02-11 02:16:57.000,visit
133,607473,2022-02-17 11:12:30.000,visit
134,607473,2022-02-21 13:39:56.000,visit
135,607473,2022-02-26 14:51:47.000,visit
136,607473,2022-03-03 10:40:05.000,visit
137,607473,2022-03-03 12:33:48.000,visit
138,607473,2021-12-08 21:56:07.000,registration
139,607473,2021-12-15 11:43:19.000,login
140,607473,2021-12-21 00:19:08.000,login
141,607473,2021-12-24 11:57:48.000,login
142,607473,2021-12-26 15:26:11.000,login
143,607473,2021-12-29 10:59:06.000,login
144,607473,2022-01-03 23:52:13.000,login
145,607473,2022-01-04 10:02:12.000,login
146,607473,2022-01-11 01:59:00.000,login
